时间段,2025-03-20,2025-06-21,2025-09-23,2025-12-21
21:40-21:50,0.0,0.0,0.0,0.0
21:50-22:00,18.7578,0.0,0.0,0.0
22:00-22:10,0.0,0.0,0.0,0.7508
22:10-22:20,0.0,0.0,0.0,0.0
22:20-22:30,0.0,0.0,0.0,0.0
22:30-22:40,0.0,0.0,0.0,0.0
22:40-22:50,0.0,0.0,0.0,0.0
22:50-23:00,0.0,0.0,0.0,0.0
23:00-23:10,0.0,0.0,0.0,0.0
23:10-23:20,0.0,0.0,0.0,0.0
23:20-23:30,0.0,0.0,0.0,0.0
23:30-23:40,0.0,0.0,0.0,0.0
23:40-23:50,0.0,0.0,0.0,0.0
23:50-24:00,0.0,0.0,0.0,0.0
