date,load,pv,net_actual,net_fc,eps,Q2_emergency_kwh,emergency
2025-01-01,127286.15238333333,35250.98236666667,92035.17001666667,73675.3394,0.2491991318422983,0.0,True
2025-01-02,127657.07848333335,34771.83921666666,92885.23926666669,94096.14938333334,-0.012868859401818757,0.0,False
2025-01-03,81883.55671666666,36378.615350000015,45504.941366666644,91412.70593333333,-0.5022033217148928,0.0,False
2025-01-04,81891.73006666666,37126.127700000005,44765.60236666665,74549.11566111111,-0.3995153132310215,0.0,False
2025-01-05,127674.11883333334,36638.408533333335,91035.7103,67476.5431125,0.3491460306172039,0.0,True
2025-01-06,126826.69011666664,36194.20901666667,90632.48109999998,73096.58339666665,0.23990037411424336,0.0,True
2025-01-07,126927.46215,34360.56120000001,92566.90095,74213.0287,0.2473133433779398,0.0,True
2025-01-08,126695.94394999994,37169.94263333335,89526.0013166666,83935.31420714286,0.06660709097635067,0.0,False
2025-01-09,127066.61819999997,35975.06208333334,91091.55611666663,78823.91528749999,0.1556334874310927,0.0,False
2025-01-10,81486.63841666667,35995.971699999995,45490.666716666674,85806.80838888888,-0.4698478177804215,0.0,False
2025-01-11,81610.19496666665,36744.30835000001,44865.88661666664,76423.69293166665,-0.412932234813843,0.0,False
2025-01-12,126519.32696666672,35653.43856666667,90865.88840000005,75707.22764393939,0.20022739212369198,0.0,True
2025-01-13,126980.35978333332,38706.402816666654,88273.95696666666,77084.07257083335,0.14516467569290423,0.0,False
2025-01-14,127109.49061666669,37829.17768333332,89280.31293333336,76447.54873333333,0.1678636452394788,0.0,False
2025-01-15,126963.89896666672,36893.55603333333,90070.34293333339,74189.00847500001,0.2140658675022598,0.0,True
2025-01-16,126807.76418333329,37733.61273333331,89074.15144999998,74570.91500777777,0.1944891844321544,0.0,False
2025-01-17,80876.07620000001,38186.96273333335,42689.11346666666,77041.85796111112,-0.44589714479348225,0.0,False
2025-01-18,81208.05750000004,37965.548483333325,43242.509016666714,77326.15447555557,-0.44077771214736167,0.0,False
2025-01-19,126210.84621666669,37527.70675000001,88683.13946666667,70989.34199444445,0.24924583007977347,0.0,True
2025-01-20,126565.66615000005,38498.58960000001,88067.07655000004,74272.5834377778,0.18572792911907593,0.0,False
2025-01-21,125750.14588333335,42274.241200000004,83475.90468333334,74489.13869222223,0.12064532022907472,0.0,False
2025-01-22,126679.58854999996,37780.82418333333,88898.76436666663,77685.44557666665,0.14434259476485478,0.0,False
2025-01-23,126355.43115000003,36789.50555000001,89565.92560000002,74647.06386999998,0.19985865426645127,0.0,False
2025-01-24,80339.5357,40510.12255,39829.41314999999,71821.75571666665,-0.44544083122772576,0.0,False
2025-01-25,80632.06428333333,42192.488816666664,38439.57546666666,67914.54058333334,-0.4340008025306442,0.0,False
2025-01-26,126385.04864999998,38686.058616666676,87698.9900333333,77762.25327444443,0.1277835497361347,0.0,False
2025-01-27,125642.95023333341,41448.03345,84194.9167833334,70415.71922,0.1956835450374799,0.0,False
2025-01-28,126496.61093333327,39516.21156666668,86980.39936666659,76335.06320444442,0.1394553919960909,0.0,False
2025-01-29,125425.44486666669,44040.243816666625,81385.20105000006,69001.1807811111,0.17947548329896187,0.0,False
2025-01-30,126011.04994999999,42268.467166666676,83742.58278333332,69416.85456444444,0.20637247695499253,0.0,True
2025-01-31,80009.91998333331,41245.59693333334,38764.32304999997,70755.82529666666,-0.4521394826861531,0.0,False
2025-02-01,76305.2062833333,41927.030349999986,34378.17593333332,69210.53081666667,-0.5032811404900441,0.0,False
2025-02-02,121705.97265,43349.694699999985,78356.27795000002,68760.42625555555,0.13955486050625185,0.0,False
2025-02-03,122603.76899999996,42386.8525,80216.91649999996,74082.16406555555,0.08281011376794753,0.0,False
2025-02-04,121578.09884999997,40383.23490000001,81194.86394999996,75968.40415111111,0.06879780952740205,0.0,False
2025-02-05,121991.08443333334,41242.65744999999,80748.42698333334,70778.32276444444,0.14086381012545537,0.0,False
2025-02-06,122252.16269999997,41981.10548333333,80271.05721666664,76097.43806777778,0.05484572483467231,0.0,False
2025-02-07,76168.59693333328,44362.917266666685,31805.67966666659,72149.32564444444,-0.5591687187291728,0.0,False
2025-02-08,75746.78751666666,44169.62479999998,31577.16271666668,61109.00339666667,-0.4832649697836648,0.0,False
2025-02-09,121547.90356666666,41992.48759999999,79555.41596666667,68355.39428444445,0.16384985851469205,0.0,False
2025-02-10,121477.56451666667,47150.926933333336,74326.63758333333,66962.10590333331,0.10998058649217922,0.0,False
2025-02-11,121441.28161666669,46220.68448333331,75220.59713333339,67562.67749444443,0.1133454138125099,0.0,False
2025-02-12,121363.85288333334,46097.11675000001,75266.73613333332,67378.89085333333,0.11706700986173582,0.0,False
2025-02-13,121310.28371666669,49980.804700000015,71329.47901666668,62063.191183333314,0.14930408276881788,0.7882,False
2025-02-14,75872.63795000003,46070.83613333333,29801.801816666703,64394.57370666666,-0.5372001070708017,0.0,False
2025-02-15,76054.55224999998,46774.46114999999,29280.09109999999,62525.17610666665,-0.5317071790401875,0.0,False
2025-02-16,121276.97728333334,45899.59818333334,75377.37909999999,64490.33062444444,0.1688167570260358,1.7469,False
2025-02-17,120960.37281666667,49776.509649999985,71183.86316666668,67484.80649111111,0.05481317748229434,22.7696,False
2025-02-18,121331.27123333327,49239.88345000001,72091.38778333327,58630.13863555556,0.22959606545453895,0.0,True
2025-02-19,121866.79411666667,48987.466733333335,72879.32738333334,58684.633251111096,0.24188093791918666,250.48059999999998,True
2025-02-20,121105.25703333328,50112.12329999998,70993.1337333333,61829.65640222223,0.14820521193745032,14.6434,False
2025-02-21,75802.00203333326,50241.73999999999,25560.262033333274,60308.43654222222,-0.576174354720033,0.0,False
2025-02-22,75682.2422666667,47837.47938333333,27844.762883333366,59022.54286444444,-0.528235119464715,0.0,False
2025-02-23,121142.14093333337,49610.287249999994,71531.85368333338,58114.73241999999,0.2308729766897443,0.0,True
2025-02-24,120628.98855,52425.95493333335,68203.03361666665,57895.94621444444,0.17802779082399212,8.4517,False
2025-02-25,121093.33288333329,55272.00964999999,65821.3232333333,60430.88091333333,0.08920012812208797,12.01,False
2025-02-26,121060.73411666663,52245.886083333324,68814.84803333331,53618.26337111111,0.2834217989687809,0.0,True
2025-02-27,120599.48893333333,53642.90473333332,66956.58420000001,54909.90413777777,0.2193899306761707,0.0,True
2025-02-28,75385.10794999996,52092.514399999985,23292.593549999976,55513.8206411111,-0.5804181142461216,0.0,False
2025-03-01,72244.16014999998,48585.39421666666,23658.76593333332,63059.21035666666,-0.6248166477265109,0.0,False
2025-03-02,117860.4170833333,45502.11001666664,72358.30706666666,60613.573036666654,0.19376409344645176,1154.0025,False
2025-03-03,117958.74560000002,45941.598966666665,72017.14663333335,65876.09939222223,0.09322117274351219,2.3268999999999997,False
